PROD_CODE;date;metric
PROD026;2011-02-03;8
PROD026;2011-02-04;10
PROD026;2011-02-07;6
PROD026;2011-02-08;8
PROD026;2011-02-09;10
PROD026;2011-02-10;2
PROD026;2011-02-11;4
PROD026;2011-02-14;10
PROD026;2011-02-15;2
PROD026;2011-02-16;4
PROD026;2011-02-17;6
PROD026;2011-02-18;8
PROD026;2011-02-21;4
PROD026;2011-02-22;6
PROD026;2011-02-23;8
PROD026;2011-02-24;10
PROD027;2011-01-03;5
PROD027;2011-01-04;7
PROD027;2011-01-05;9
PROD027;2011-01-06;1
PROD027;2011-01-07;3
PROD027;2011-01-10;9
PROD027;2011-01-11;1
PROD027;2011-01-12;3
PROD027;2011-01-13;5
PROD027;2011-01-14;7
PROD027;2011-01-17;3
PROD027;2011-01-18;5
PROD027;2011-01-19;7
PROD027;2011-01-20;9
PROD027;2011-01-21;1
PROD027;2011-01-24;7
PROD027;2011-01-25;9
PROD027;2011-01-26;1
PROD027;2011-01-27;3
PROD027;2011-01-28;5
PROD027;2011-01-31;1
PROD027;2011-02-01;3
PROD027;2011-02-02;5
PROD027;2011-02-03;7
PROD027;2011-02-04;9
PROD027;2011-02-07;5
PROD027;2011-02-08;7
PROD027;2011-02-09;9
PROD027;2011-02-10;1
PROD027;2011-02-11;3
PROD027;2011-02-14;9
PROD027;2011-02-15;1
PROD027;2011-02-16;3
PROD027;2011-02-17;5
PROD027;2011-02-18;7
PROD027;2011-02-21;3
PROD027;2011-02-22;5
PROD027;2011-02-23;7
PROD027;2011-02-24;9
PROD028;2011-01-03;6
PROD028;2011-01-04;8
PROD028;2011-01-05;10
PROD028;2011-01-06;2
PROD028;2011-01-07;4
PROD028;2011-01-10;10
PROD028;2011-01-11;2
PROD028;2011-01-12;4
PROD028;2011-01-13;6
PROD028;2011-01-14;8
PROD028;2011-01-17;4
PROD028;2011-01-18;6
PROD028;2011-01-19;8
PROD028;2011-01-20;10
PROD028;2011-01-21;2
PROD028;2011-01-24;8
PROD028;2011-01-25;10
PROD028;2011-01-26;2
PROD028;2011-01-27;4
PROD028;2011-01-28;6
PROD028;2011-01-31;2
PROD028;2011-02-01;4
PROD028;2011-02-02;6
PROD028;2011-02-03;8
PROD028;2011-02-04;10
PROD028;2011-02-07;6
PROD028;2011-02-08;8
PROD028;2011-02-09;10
PROD028;2011-02-10;2
PROD028;2011-02-11;4
PROD028;2011-02-14;10
PROD028;2011-02-15;2
PROD028;2011-02-16;4
PROD028;2011-02-17;6
PROD028;2011-02-18;8
PROD028;2011-02-21;4
PROD028;2011-02-22;6
PROD028;2011-02-23;8
PROD028;2011-02-24;10
PROD029;2011-01-03;5
PROD029;2011-01-04;7
PROD029;2011-01-05;9
PROD029;2011-01-06;1
PROD029;2011-01-07;3
PROD029;2011-01-10;9
PROD029;2011-01-11;1
PROD029;2011-01-12;3
PROD029;2011-01-13;5
PROD029;2011-01-14;7
PROD029;2011-01-17;3
PROD029;2011-01-18;5
PROD029;2011-01-19;7
PROD029;2011-01-20;9
PROD029;2011-01-21;1
PROD029;2011-01-24;7
PROD029;2011-01-25;9
PROD029;2011-01-26;1
PROD029;2011-01-27;3
PROD029;2011-01-28;5
PROD029;2011-01-31;1
PROD029;2011-02-01;3
PROD029;2011-02-02;5
PROD029;2011-02-03;7
PROD029;2011-02-04;9
PROD029;2011-02-07;5
PROD029;2011-02-08;7
PROD029;2011-02-09;9
PROD029;2011-02-10;1
PROD029;2011-02-11;3
PROD029;2011-02-14;9
PROD029;2011-02-15;1
PROD029;2011-02-16;3
PROD029;2011-02-17;5
PROD029;2011-02-18;7
PROD029;2011-02-21;3
PROD029;2011-02-22;5
PROD029;2011-02-23;7
PROD029;2011-02-24;9
PROD030;2011-01-03;6
PROD030;2011-01-04;8
PROD030;2011-01-05;10
PROD030;2011-01-06;2
PROD030;2011-01-07;4
PROD030;2011-01-10;10
PROD030;2011-01-11;2
PROD030;2011-01-12;4
PROD030;2011-01-13;6
PROD030;2011-01-14;8
PROD030;2011-01-17;4
PROD030;2011-01-18;6
PROD030;2011-01-19;8
PROD030;2011-01-20;10
PROD030;2011-01-21;2
PROD030;2011-01-24;8
PROD030;2011-01-25;10
PROD030;2011-01-26;2
PROD030;2011-01-27;4
PROD030;2011-01-28;6
PROD030;2011-01-31;2
PROD030;2011-02-01;4
PROD030;2011-02-02;6
PROD030;2011-02-03;8
PROD030;2011-02-04;10
PROD030;2011-02-07;6
PROD030;2011-02-08;8
PROD030;2011-02-09;10
PROD030;2011-02-10;2
PROD030;2011-02-11;4
PROD030;2011-02-14;10
PROD030;2011-02-15;2
PROD030;2011-02-16;4
PROD030;2011-02-17;6
PROD030;2011-02-18;8
PROD030;2011-02-21;4
PROD030;2011-02-22;6
PROD030;2011-02-23;8
PROD030;2011-02-24;10
